"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.998212292E0,1.816523743E1,-2.550214386E1,-4.412777710E1,5.410726295E1
3.008271292E0,1.741947937E1,-2.534199142E1,-4.404141235E1,5.371499598E1
3.018330292E0,1.693991089E1,-2.524613953E1,-4.402185059E1,5.350001375E1
3.028389292E0,1.648347473E1,-2.520135117E1,-4.456546021E1,5.378562339E1
3.038448292E0,1.611521912E1,-2.503451538E1,-4.493194580E1,5.390089982E1
3.048507292E0,1.580143738E1,-2.457328033E1,-4.481448364E1,5.349644356E1
3.058566292E0,1.533050537E1,-2.449351120E1,-4.532708740E1,5.375408206E1
3.068625292E0,1.525018311E1,-2.411958694E1,-4.558486938E1,5.378013458E1
3.078684292E0,1.542993164E1,-2.388770676E1,-4.608212280E1,5.415041428E1
3.088743292E0,1.550473022E1,-2.371153641E1,-4.567520142E1,5.374809432E1
3.098802292E0,1.553462219E1,-2.355706024E1,-4.595376587E1,5.392595082E1
3.108860292E0,1.579685974E1,-2.324150467E1,-4.602322388E1,5.392444207E1
3.118919292E0,1.575836182E1,-2.295400620E1,-4.627786255E1,5.400789692E1
3.128978292E0,1.594204712E1,-2.266812897E1,-4.619866943E1,5.387309156E1
3.139037292E0,1.587004089E1,-2.246345901E1,-4.639016724E1,5.393062956E1
3.149096292E0,1.582479858E1,-2.245439529E1,-4.643591309E1,5.395292524E1
3.159155292E0,1.612309265E1,-2.224571228E1,-4.646679688E1,5.398137682E1
3.169214292E0,1.632374573E1,-2.189111710E1,-4.644592285E1,5.387865470E1
3.179273292E0,1.664143372E1,-2.168924332E1,-4.692568970E1,5.430820330E1
3.189332292E0,1.685777283E1,-2.131216812E1,-4.685015869E1,5.416022880E1
3.199391292E0,1.670892334E1,-2.118104172E1,-4.735775757E1,5.450304440E1
3.209450292E0,1.692787170E1,-2.087777710E1,-4.736254883E1,5.445774002E1
3.219509292E0,1.663931274E1,-2.041913986E1,-4.752783203E1,5.433877822E1
3.229568292E0,1.664233398E1,-2.027436447E1,-4.749618530E1,5.425776215E1
3.239626292E0,1.660917664E1,-2.025995636E1,-4.726602173E1,5.404079376E1
